,data,quant,id_produto
0,2024-11-13 20:54:59,494,1
1,2024-11-13 21:03:44,491,1
2,2024-11-13 21:19:10,488,1
3,2024-11-13 21:20:22,482,1
4,2024-11-13 21:27:22,475,1
5,2024-11-13 21:28:07,465,1
6,2024-11-13 21:33:53,462,1
7,2024-11-13 21:37:56,453,1
8,2024-11-13 21:40:37,447,1
9,2024-11-13 21:41:19,443,1
10,2024-11-13 21:46:23,434,1
11,2024-11-13 22:07:46,428,1
12,2024-11-13 22:14:10,424,1
13,2024-11-13 22:17:13,420,1
14,2024-11-13 22:19:39,415,1
15,2024-11-13 22:23:50,409,1
16,2024-11-13 22:24:51,402,1
17,2024-11-13 22:28:10,392,1
18,2024-11-13 22:29:14,383,1
19,2024-11-13 22:30:28,377,1
20,2024-11-13 22:38:02,371,1
21,2024-11-13 22:42:57,358,1
22,2024-11-13 22:50:54,355,1
23,2024-11-13 22:58:58,348,1
24,2024-11-13 22:59:18,341,1
25,2024-11-13 23:17:42,336,1
26,2024-11-13 23:18:09,326,1
27,2024-11-13 23:19:08,322,1
28,2024-11-13 23:19:49,315,1
29,2024-11-13 23:20:48,309,1
30,2024-11-13 23:22:54,302,1
31,2024-11-13 23:26:26,297,1
32,2024-11-13 23:26:38,291,1
33,2024-11-13 23:27:48,284,1
34,2024-11-13 23:37:16,282,1
35,2024-11-13 23:41:43,278,1
36,2024-11-13 23:42:07,273,1
37,2024-11-13 23:42:14,265,1
38,2024-11-13 23:42:18,259,1
39,2024-11-13 23:42:49,249,1
40,2024-11-14 00:17:52,242,1
41,2024-11-14 00:20:42,237,1
42,2024-11-14 00:29:14,234,1
43,2024-11-14 00:38:33,230,1
44,2024-11-14 00:45:46,222,1
45,2024-11-14 00:47:16,217,1
46,2024-11-14 00:54:28,213,1
47,2024-11-14 01:07:35,208,1
48,2024-11-14 01:08:47,206,1
49,2024-11-14 01:09:42,200,1
50,2024-11-14 01:10:35,194,1
51,2024-11-14 01:15:12,187,1
52,2024-11-14 01:18:26,185,1
53,2024-11-14 01:18:40,179,1
54,2024-11-14 01:19:27,172,1
55,2024-11-14 01:19:50,162,1
56,2024-11-14 01:20:21,158,1
57,2024-11-14 01:24:35,154,1
58,2024-11-14 01:25:40,149,1
59,2024-11-14 01:30:31,140,1
60,2024-11-14 01:36:59,128,1
61,2024-11-14 01:37:25,119,1
62,2024-11-14 01:42:09,113,1
63,2024-11-14 02:03:33,109,1
64,2024-11-14 02:04:41,103,1
65,2024-11-14 02:19:38,98,1
66,2024-11-14 02:30:02,94,1
67,2024-11-14 02:35:39,87,1
68,2024-11-14 02:36:04,81,1
69,2024-11-14 02:38:55,75,1
70,2024-11-14 02:39:32,70,1
71,2024-11-14 02:42:21,65,1
72,2024-11-14 02:48:05,58,1
73,2024-11-14 02:58:55,54,1
74,2024-11-14 02:59:03,50,1
75,2024-11-14 03:01:27,45,1
76,2024-11-14 03:16:29,39,1
77,2024-11-14 03:17:50,34,1
78,2024-11-14 03:20:00,30,1
79,2024-11-14 03:20:00,26,1
80,2024-11-14 03:24:56,19,1
81,2024-11-14 03:32:09,15,1
82,2024-11-14 03:42:06,12,1
83,2024-11-14 03:52:01,9,1
84,2024-11-14 03:55:59,2,1
85,2024-11-14 03:59:13,1,1
86,2024-11-14 03:59:19,499,1
87,2024-11-14 04:11:58,495,1
88,2024-11-14 04:19:53,489,1
89,2024-11-14 04:27:07,478,1
90,2024-11-14 04:33:01,468,1
91,2024-11-14 04:33:02,463,1
92,2024-11-14 04:34:32,460,1
93,2024-11-14 04:42:20,456,1
94,2024-11-14 04:56:51,450,1
95,2024-11-14 05:00:45,442,1
96,2024-11-14 05:03:01,434,1
97,2024-11-14 05:09:06,428,1
98,2024-11-14 05:10:53,422,1
99,2024-11-14 05:30:32,413,1
100,2024-11-14 05:31:43,404,1
101,2024-11-14 05:38:20,401,1
102,2024-11-14 05:44:16,391,1
103,2024-11-14 05:50:36,381,1
104,2024-11-14 05:52:25,377,1
105,2024-11-14 06:03:15,367,1
106,2024-11-14 06:04:18,363,1
107,2024-11-14 06:07:45,359,1
108,2024-11-14 06:09:53,353,1
109,2024-11-14 06:10:10,350,1
110,2024-11-14 06:11:43,344,1
111,2024-11-14 06:28:18,342,1
112,2024-11-14 06:32:20,334,1
113,2024-11-14 06:36:17,324,1
114,2024-11-14 06:42:26,316,1
115,2024-11-14 06:43:40,308,1
116,2024-11-14 06:47:21,300,1
117,2024-11-14 06:56:14,295,1
118,2024-11-14 06:59:37,292,1
119,2024-11-14 07:07:01,287,1
120,2024-11-14 07:10:39,278,1
121,2024-11-14 07:12:44,274,1
122,2024-11-14 07:16:24,265,1
123,2024-11-14 07:27:26,262,1
124,2024-11-14 07:31:58,259,1
125,2024-11-14 07:32:35,251,1
126,2024-11-14 07:35:42,246,1
127,2024-11-14 07:40:57,239,1
128,2024-11-14 07:41:13,234,1
129,2024-11-14 07:43:08,222,1
130,2024-11-14 07:45:27,216,1
131,2024-11-14 07:56:30,209,1
132,2024-11-14 08:02:06,203,1
133,2024-11-14 08:07:43,192,1
134,2024-11-14 08:27:18,190,1
135,2024-11-14 08:29:20,188,1
136,2024-11-14 08:30:59,187,1
137,2024-11-14 08:31:00,179,1
138,2024-11-14 08:31:18,175,1
139,2024-11-14 08:36:39,168,1
140,2024-11-14 08:39:51,161,1
141,2024-11-14 08:49:16,155,1
142,2024-11-14 09:02:59,148,1
143,2024-11-14 09:14:10,143,1
144,2024-11-14 09:14:24,138,1
145,2024-11-14 09:20:05,135,1
146,2024-11-14 09:20:07,128,1
147,2024-11-14 09:40:54,118,1
148,2024-11-14 09:40:54,112,1
149,2024-11-14 09:43:00,110,1
150,2024-11-14 09:49:46,105,1
151,2024-11-14 09:53:31,98,1
152,2024-11-14 10:00:35,93,1
153,2024-11-14 10:05:52,81,1
154,2024-11-14 10:08:06,72,1
155,2024-11-14 10:48:15,66,1
156,2024-11-14 10:48:42,57,1
157,2024-11-14 10:54:23,50,1
158,2024-11-14 11:01:36,43,1
159,2024-11-14 11:02:57,38,1
160,2024-11-14 11:09:29,35,1
161,2024-11-14 11:15:39,28,1
162,2024-11-14 11:23:24,19,1
163,2024-11-14 11:29:03,11,1
164,2024-11-14 11:29:15,6,1
165,2024-11-14 11:31:24,1,1
166,2024-11-14 11:31:46,496,1
167,2024-11-14 11:32:03,491,1
168,2024-11-14 11:32:41,485,1
169,2024-11-14 11:39:19,479,1
170,2024-11-14 11:41:58,473,1
171,2024-11-14 11:52:18,469,1
172,2024-11-14 12:00:59,455,1
173,2024-11-14 12:03:47,448,1
174,2024-11-14 12:12:57,442,1
175,2024-11-14 12:16:43,438,1
176,2024-11-14 12:24:52,434,1
177,2024-11-14 12:26:00,428,1
178,2024-11-14 12:28:18,422,1
179,2024-11-14 12:33:22,415,1
180,2024-11-14 12:47:50,408,1
181,2024-11-14 12:49:47,402,1
182,2024-11-14 12:51:17,395,1
183,2024-11-14 12:52:22,392,1
184,2024-11-14 12:54:58,388,1
185,2024-11-14 13:01:59,379,1
186,2024-11-14 13:11:43,372,1
187,2024-11-14 13:35:53,369,1
188,2024-11-14 13:46:55,364,1
189,2024-11-14 13:51:31,357,1
190,2024-11-14 13:53:45,353,1
191,2024-11-14 14:05:24,344,1
192,2024-11-14 14:07:07,339,1
193,2024-11-14 14:08:03,331,1
194,2024-11-14 14:09:28,323,1
195,2024-11-14 14:14:54,317,1
196,2024-11-14 14:16:31,310,1
197,2024-11-14 14:31:52,304,1
198,2024-11-14 14:36:52,296,1
199,2024-11-14 14:37:16,290,1
200,2024-11-14 14:38:28,282,1
201,2024-11-14 14:38:34,275,1
202,2024-11-14 14:38:39,270,1
203,2024-11-14 14:44:34,259,1
204,2024-11-14 14:48:07,253,1
205,2024-11-14 14:53:00,250,1
206,2024-11-14 14:57:46,244,1
207,2024-11-14 15:04:15,238,1
208,2024-11-14 15:07:24,228,1
209,2024-11-14 15:09:18,222,1
210,2024-11-14 15:10:43,217,1
211,2024-11-14 15:15:58,211,1
212,2024-11-14 15:18:38,206,1
213,2024-11-14 15:22:22,203,1
214,2024-11-14 15:25:04,197,1
215,2024-11-14 15:25:58,193,1
216,2024-11-14 15:30:01,186,1
217,2024-11-14 15:32:47,181,1
218,2024-11-14 15:36:40,177,1
219,2024-11-14 15:45:49,170,1
220,2024-11-14 15:59:08,167,1
221,2024-11-14 16:07:44,161,1
222,2024-11-14 16:23:42,156,1
223,2024-11-14 16:28:22,147,1
224,2024-11-14 16:29:59,136,1
225,2024-11-14 16:30:36,126,1
226,2024-11-14 16:37:53,119,1
227,2024-11-14 16:40:09,114,1
228,2024-11-14 16:45:29,108,1
229,2024-11-14 16:52:13,101,1
230,2024-11-14 16:54:04,93,1
231,2024-11-14 16:54:30,87,1
232,2024-11-14 16:57:41,82,1
233,2024-11-14 17:01:10,77,1
234,2024-11-14 17:08:16,71,1
235,2024-11-14 17:08:36,64,1
236,2024-11-14 17:13:42,54,1
237,2024-11-14 17:15:21,44,1
238,2024-11-14 17:26:12,39,1
239,2024-11-14 17:36:36,34,1
240,2024-11-14 17:43:44,27,1
241,2024-11-14 17:44:24,22,1
242,2024-11-14 17:46:06,11,1
243,2024-11-14 18:19:39,3,1
244,2024-11-14 18:24:51,1,1
245,2024-11-14 18:28:17,496,1
246,2024-11-14 18:30:15,490,1
247,2024-11-14 18:37:50,487,1
248,2024-11-14 18:39:42,481,1
249,2024-11-14 18:49:18,475,1
250,2024-11-14 18:56:50,468,1
251,2024-11-14 19:06:42,462,1
252,2024-11-14 19:11:39,458,1
253,2024-11-14 19:13:24,455,1
254,2024-11-14 19:40:01,449,1
255,2024-11-14 19:57:23,443,1
256,2024-11-14 20:13:36,438,1
257,2024-11-14 20:20:17,431,1
258,2024-11-14 20:21:03,427,1
259,2024-11-14 20:21:35,421,1
260,2024-11-14 20:30:13,416,1
261,2024-11-14 20:32:07,411,1
262,2024-11-14 20:35:31,407,1
263,2024-11-14 20:38:58,401,1
264,2024-11-14 20:50:27,394,1
265,2024-11-14 20:54:04,389,1
266,2024-11-14 21:10:43,383,1
267,2024-11-14 21:17:13,374,1
268,2024-11-14 21:18:34,369,1
269,2024-11-14 21:28:36,363,1
270,2024-11-14 21:34:27,358,1
271,2024-11-14 21:34:41,353,1
272,2024-11-14 21:35:09,344,1
273,2024-11-14 21:54:42,335,1
274,2024-11-14 21:55:05,330,1
275,2024-11-14 21:55:36,320,1
276,2024-11-14 21:56:00,312,1
277,2024-11-14 22:03:10,303,1
278,2024-11-14 22:03:46,295,1
279,2024-11-14 22:05:15,289,1
280,2024-11-14 22:06:24,279,1
281,2024-11-14 22:08:41,276,1
282,2024-11-14 22:08:47,272,1
283,2024-11-14 22:15:36,267,1
284,2024-11-14 22:21:10,263,1
285,2024-11-14 22:21:23,258,1
286,2024-11-14 22:25:26,255,1
